Name,Latitude,Longitude,Elevation,Prominence,Isolation,State,Counties,Quad,Completed,Id
Hungry Ridge South,39.7244,-119.715,6020,427,1.22,NV,Washoe,Griffith Canyon,no,46379
Granite Hills,39.6509,-119.939,6018,608,4.45,NV,Washoe,Reno NW,no,46391
Cotton Benchmark,41.1722,-119.5759,6011,319,6.03,NV,Washoe,Chester Lyons Spring,no,46403
5964,39.676,-119.2076,5964,568,3.58,NV,Washoe,Two Tips,no,46463
Hungry Mountain,39.7514,-119.7892,5964,568,2.53,NV,Washoe,Bedell Flat,no,46464
Miller Benchmark,39.9954,-119.872,5958,332,3.17,NV,Washoe,Dogskin Mountain,no,46472
5950,39.5313,-119.6561,5950,783,2.92,NV,Washoe,Vista,no,46485
5941,40.6339,-119.8655,5941,511,1.51,NV,Washoe,Buffalo Creek,no,46498
5933,41.0189,-119.4497,5933,313,1.52,NV,Washoe,Leadville,no,141259
5925,41.3898,-119.3881,5925,415,4.17,NV,Washoe,Yellow Hills West,no,46528
5912,41.0808,-119.3675,5912,372,1.77,NV,Washoe,Division Peak,no,46546
5899,41.3827,-119.4247,5899,369,1.96,NV,Washoe,Yellow Hills West,no,46573
5890,40.7034,-119.8764,5890,380,1.05,NV,Washoe,Mixie Flat,no,46585
5890,39.5493,-119.6618,5890,360,1.28,NV,Washoe,Vista,no,46584
5890,41.5981,-119.9861,5890,300,3.17,NV,Washoe,Fortynine Mountain,no,46586
5881,39.9904,-119.2657,5881,301,1.64,NV,Washoe,Russell Peak,no,46599
Sand Benchmark,40.2591,-119.8945,5877,967,9.33,NV,Washoe,Parker Canyon,no,46604
5874,40.4346,-119.5241,5874,454,1.98,NV,Washoe,Pah-Rum Peak,no,46611
5871,40.0222,-119.9244,5871,361,2.95,NV,Washoe,State Line Peak,no,46612
5870,39.6243,-119.8019,5870,340,2.53,NV,Washoe,Reno,no,46617
5836,40.7003,-119.3707,5836,366,3.15,NV,Washoe,Gerlach,no,46665
5830,39.8083,-119.8198,5830,302,2.7,NV,Washoe,Bedell Flat,no,46675
5812,41.022,-119.9683,5812,662,4.98,NV,Washoe,Duck Lake,no,46701
5806,41.1576,-119.5338,5806,336,2.41,NV,Washoe,Chester Lyons Spring,no,46718
White Hill,39.6917,-119.3797,5800,436,3.85,NV,Washoe,Olinghouse,no,46728
